json_line_no	url	text	line_id
3	https://www.indischekamparchieven.nl/nl/zoeken?mivast=963&mizig=210&miadt=963&miaet=1&micode=400&minr=1240400&miview=inv2&milang=nl	Onderwijs: verslag van mw. J. Bakker-Maks over het werk van de clandestiene HBS te Malang van 1 augustus 1942 tot 23 januari 1943, 1947.	1
12	https://www.overtocht.nl/ferry/bonifacio-corsica-santa-teresa-di-gallura-sardinie/	Met de veerboot van Bonifacio (Corsica) naar Santa Teresa di Gallura (Sardinië)? Dat kan eenvoudig met Moby Lines. De overtocht duurt ongeveer 1 uur.	2
12	https://www.overtocht.nl/ferry/bonifacio-corsica-santa-teresa-di-gallura-sardinie/	Vraag nu vrijblijvend een offerte aan voor de ferry van Bonifacio (Corsica) naar Santa Teresa di Gallura (Sardinië) zodat je zeker weet dat je de beste prijs krijgt. Onze specialisten helpen je graag!	3
15	https://nieuws.ns.nl/tentoonstelling-tienertoer-in-spoorwegmuseum/	Tegenwoordig biedt NS de Jongerentoer voor jongeren van 12 tot en met 18 jaar. Hiermee is het mogelijk om 2 (27 euro) of 3 dagen (37 euro) onbeperkt door Nederland te reizen. In de meivakantie is de jongerenkaart beschikbaar van 22 april tot en met 10 mei 2019 en in de zomer van 1 juli tot en met 30 augustus	4
20	https://nl.wikipedia.org/wiki/Trappeto	Trappeto is een gemeente in de Italiaanse provincie Palermo (regio Sicilië) en telt 2936 inwoners (31-12-2004). De oppervlakte bedraagt 4,1 km², de bevolkingsdichtheid is 716 inwoners per km².	5
20	https://nl.wikipedia.org/wiki/Trappeto	Trappeto telt ongeveer 1202 huishoudens. Het aantal inwoners daalde in de periode 1991-2001 met 9,4% volgens cijfers uit de tienjaarlijkse volkstellingen van ISTAT.	6
20	https://nl.wikipedia.org/wiki/Trappeto	Trappeto is een vissersdorp. De architect Danilo Dolci (1924 — 1997) heeft zich, omdat hij onder de indruk was van de armoede in Zuid-Italië, ingezet om de dorpsgemeenschap in dit dorp zelf te laten werken aan gemeenschappelijke voorzieningen zoals scholen, een ziekenhuis, een weeshuis en een irrigatiesysteem. Hiervoor, en voor zijn strijd tegen de maffia was hij kandidaat voor de Nobelprijs voor de Vrede.[1]	7
20	https://nl.wikipedia.org/wiki/Trappeto	"In 1958 werd Danilo Dolci onderscheiden met de Internationale Lenin-Vredesprijs voor het versterken van de vrede tussen de volkeren.[2] Hij mocht het prijsgeld ter waarde van ongeveer 25 000 dollar vrij besteden en gebruikte het om in Trappeto het ""Centro Studi e Iniziative per la piena Occupazione"" (Italiaans voor ""studiecentrum en initiatief voor volledige werkgelegenheid"" te stichten."	8
20	https://nl.wikipedia.org/wiki/Trappeto	↑ (de) [1]. Necrologie door v. Kleinau, in Der Spiegel van 5 januari 1998. Gelezen op 29 oktober 2014.	9
20	https://nl.wikipedia.org/wiki/Trappeto	"↑ (de) [2] Artikel ""Der Gandhi von Sizilien"" in Der Spiegel van 18 juni 1958. Gelezen op 29 oktober 2014"	10
23	https://op.europa.eu/sl/publication-detail/-/publication/5fd09313-38a0-11ec-8daf-01aa75ed71a1/language-nl/format-PDF	WERKDOCUMENT VAN DE DIENSTEN VAN DE COMMISSIE SAMENVATTING VAN HET EFFECTBEOORDELINGSVERSLAG bij Gedelegeerde Verordening van de Commissie tot aanvulling van Richtlijn 2014/53/EU van het Europees Parlement en de Raad met betrekking tot de toepassing van de essentiële eisen als bedoeld in artikel 3, lid 3, punten d), e) en f), van die richtlijn - Publications Office of the EU	11
23	https://op.europa.eu/sl/publication-detail/-/publication/5fd09313-38a0-11ec-8daf-01aa75ed71a1/language-nl/format-PDF	WERKDOCUMENT VAN DE DIENSTEN VAN DE COMMISSIE SAMENVATTING VAN HET EFFECTBEOORDELINGSVERSLAG bij Gedelegeerde Verordening van de Commissie tot aanvulling van Richtlijn 2014/53/EU van het Europees Parlement en de Raad met betrekking tot de toepassing van de essentiële eisen als bedoeld in artikel 3, lid 3, punten d), e) en f), van die richtlijn	12
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	Dit artikel beschrijft de geschiedenis van Aalbeek in de Nederlands-Limburgse gemeente Beekdaelen. Aalbeek is en was een lintvormige nederzetting in een Zuid-Limburgs droogdal. Dit droogdal of grub begint op het plateau 'de Kaalstreek' ten zuiden van het gehucht (+125 m NAP) en loopt over een afstand van 1,4 km af naar de bron van de Platsbeek (+105 m NAP) in het noorden. Ook een deel van de bovenloop van de Platsbeek wordt bij Aalbeek gerekend.	13
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	Hoewel de familie Van Hulsberg gen. Schaloen ten zuiden van Aalbeek belangrijk grondbezit had, was dit in Aalbeek niet het geval. Uit een register van de schatheffer uit de eerste helft van de zeventiende eeuw blijkt dat er toen geen grote pachthoeven in Aalbeek lagen. De familie Kerckherderen (zie hierna) bouwde haar omvangrijke grondbezit pas in de zeventiende eeuw op.	14
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	De eerste kadastrale minuutplans, die in Limburg van rond 1810 dateren, tonen hoe Aalbeek er twee eeuwen geleden uitzag.	15
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	Op landgoed Aalbeek is in 1900 een Jezuïetenklooster gebouwd. Het landhuis moest hiervoor grotendeels wijken. Alleen het neoclassicistische uit mergel en hardsteen opgetrokken koetshuis, dat als kapel dienst ging doen, bleef behouden. Het klooster is in 1992 weer afgebroken en het koetshuis herbouwd tot een beeldbepalende moderne villa: de Villa Aalbeek.	16
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	Eigenaren van landgoed Aalbeek in Kastelen in Limburg. Burchten en landhuizen (1000 - 1800), ISBN 978-90-5345-269-1	17
25	https://nl.wikipedia.org/wiki/Geschiedenis_van_Aalbeek	"Overgenomen van ""https://nl.wikipedia.org/w/index.php?title=Geschiedenis_van_Aalbeek&oldid=56857612"""	18
26	https://op.europa.eu/nl/publication-detail/-/publication/a633dfb7-e60e-11eb-a1a5-01aa75ed71a1/language-nl	BESCHIKKING VAN DE COMMISSIE van 15 januari 1979 met betrekking tot de vaststelling van het maximumbedrag voor de bijzondere steun voor magere-melkpoeder voor de zeventiende bijzondere inschrijving die wordt gehouden in het kader van Verordening (EEG) nr. 1844/77 - Publications Office of the EU	19
26	https://op.europa.eu/nl/publication-detail/-/publication/a633dfb7-e60e-11eb-a1a5-01aa75ed71a1/language-nl	BESCHIKKING VAN DE COMMISSIE van 15 januari 1979 met betrekking tot de vaststelling van het maximumbedrag voor de bijzondere steun voor magere-melkpoeder voor de zeventiende bijzondere inschrijving die wordt gehouden in het kader van Verordening (EEG) nr. 1844/77	20
34	https://relatie-therapeut.nl/relatietherapie/zuid-holland/rotterdam/	Emotionally Focused Therapy (EFT) is een therapievorm gericht op het versterken van de verbondenheid binnen een relatie. Door aandacht te besteden aan emoties leren partners elkaar beter begrijpen en wordt hun band sterker.	21
38	http://bladt-charity.nl/gala-voor-het-kind-2022-groot-succes/	Na de 'after-party' kwam Veilingmeester JP nog een keer het podium op, om samen met zanger Frans Duijts nog twee keer een optreden met whiskeyproeverij te veilen en de opbrengst met 24.000 euro te verhogen.	22
38	http://bladt-charity.nl/gala-voor-het-kind-2022-groot-succes/	ARCHIEF Maand selecteren juni 2022 (2) mei 2022 (1) april 2022 (1) maart 2022 (1) december 2021 (2) november 2021 (4) april 2021 (2) maart 2021 (4) februari 2021 (3) januari 2021 (3) februari 2020 (2) januari 2020 (2) december 2019 (6) november 2019 (9) augustus 2019 (5) juni 2019 (3) mei 2019 (2) april 2019 (3) maart 2019 (1) februari 2019 (6) december 2018 (6) november 2018 (4) oktober 2018 (4) augustus 2018 (3) juli 2018 (2) juni 2018 (5) april 2018 (2) februari 2018 (4) januari 2018 (1) december 2017 (4) oktober 2017 (1) september 2017 (4) augustus 2017 (4) januari 2017 (1) december 2016 (6) oktober 2016 (3) september 2016 (6) augustus 2016 (4) juli 2016 (2) juni 2016 (4) mei 2016 (4) april 2016 (3) februari 2016 (8) januari 2016 (4) november 2015 (20) mei 2015 (6) april 2015 (2) maart 2015 (3) februari 2015 (5) januari 2015 (3) november 2014 (4) oktober 2014 (6) september 2014 (7) juli 2014 (6) juni 2014 (5) mei 2014 (10) april 2014 (1) maart 2014 (5) februari 2014 (3) januari 2014 (7) december 2013 (2) november 2013 (6) oktober 2013 (6) september 2013 (2) augustus 2013 (1) juli 2013 (5) juni 2013 (1) mei 2013 (4) april 2013 (7) december 2012 (6) november 2012 (3) oktober 2012 (7) september 2012 (2) augustus 2012 (1) juli 2012 (3) mei 2012 (9) maart 2012 (1) januari 2012 (5) december 2011 (1) november 2011 (1) oktober 2011 (1) september 2011 (1) augustus 2011 (1) juli 2011 (6) april 2011 (10) januari 2011 (1) augustus 2010 (2) juni 2010 (1) mei 2010 (16) april 2010 (1) maart 2010 (2) januari 2010 (1)	23
42	https://www.wikiwand.com/nl/Lou_Rawls	In 1976 brak hij wereldwijd door met het album All Things in Time, waarop het nummer You'll Never Find Another Love Like Mine staat. In 1977 behaalde hij nog enkele hits, waaronder See you when I git there en Lady Love.[1] In 1989 had hij samen met Dianne Reeves een hit met Fine brown frame.	24
