Sent ID,Source,Reference,MT,Model,Score,Unbabel/XCOMET-XL,Unbabel/wmt23-cometkiwi-da-xxl,Unbabel/wmt23-cometkiwi-da-xl,Unbabel/XCOMET-XXL,google/metricx-23-qe-large-v2p0,google/metricx-23-qe-xl-v2p0,CometMT,xcomet-metricX-XL,xcomet-ensemble,Unbabel-QE,Unbabel/XCOMET-XL (mqm),Unbabel/XCOMET-XXL (mqm),xcomet-xxl-mqm-ensemble,xcomet-kiwi,xcomet-xxl-mqm-ensemble-prod,xcomet-kiwi-prod,xcomet-ensemble-prod,xCOMET-XL (Ref),xCOMET-XXL (Ref),CometMT-MBR
0,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien,Polizei nimmt 15 Personen nach gewalttätigem Protest vor einem Flüchtlingshotel in Großbritannien fest,Tower-7b,97,1.0,0.9440990090370178,0.8250442743301392,1.0,0.61589694,0.0,0.9305197596549988,0.5,1.0,0.9438713788986206,0,0,0.5,0.9720495045185088,0.0,0.9440990090370178,1.0,0.991200029850006,1.0,0.9370502
0,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien,Polizei verhaftet 15 Personen nach gewalttätigem Protest vor Flüchtlings-Hotel in Großbritannien,Tower-13b,94,1.0,0.9382695555686952,0.8320099711418152,1.0,0.5212593,0.0,0.938276469707489,0.5,1.0,0.9479035139083862,0,0,0.5,0.9691347777843476,0.0,0.9382695555686952,1.0,0.991200029850006,1.0,0.93977183
0,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien,Polizei verhaftet 15 Personen nach gewalttätigem Protest vor britischem Flüchtlingshotel,Google,99,1.0,0.9383772015571594,0.8196989297866821,1.0,0.4869575,0.06263568,0.9317441582679749,0.46868216,1.0,0.9314581751823424,0,0,0.5,0.9691886007785796,0.0,0.9383772015571594,1.0,0.991200029850006,1.0,0.93842626
0,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien,Quelle: Polizei nimmt 15 Personen nach gewalttätigem Protest vor britischem Flüchtlingshotel fest,GPT-4,95,0.9823999404907228,0.8941540122032166,0.8046895265579224,0.969689965248108,0.62233806,0.10830043,0.9110240340232848,0.4370497552453614,0.9760449528694154,0.8761590123176575,-2,-1,-0.0151550173759459,0.9319219887256622,-0.969689965248108,0.8670521730197934,0.9526233641541924,0.9736000299453736,0.975524127483368,0.93227327
0,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Menschen nach gewalttätigen Protesten vor einer Flüchtlingsunterkunft in Großbritannien,"Die Polizei nimmt 15 Personen fest, nachdem es zu gewalttätigen Protesten vor dem Flüchtlings-Hotel in Großbritannien gekommen ist",ALMA-R,84,1.0,0.9214994311332704,0.8009694814682007,0.9823999404907228,0.52732074,0.17175677,0.8860934376716614,0.414121615,0.9911999702453612,0.9274700284004213,0,-2,-0.5088000297546387,0.9519496858119966,-1.964799880981445,0.9052809863075596,0.9823999404907228,0.9824000597000122,0.979955554008484,0.9028129
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell aus,Google,78,0.9252604246139526,0.7700489163398743,0.6912037134170532,0.9350764751434326,2.0188437,0.82407165,0.6802470088005066,0.0505943873069762,0.9301684498786926,0.6488520503044128,-4,-2,-0.5324617624282837,0.8525626957416534,-1.8701529502868648,0.7200546263791097,0.8651892564377306,0.9331884384155272,0.958473801612854,0.6974931
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly blockiert Lee Grace am Brandywell,ALMA-R,99,0.9500436782836914,0.8352522253990173,0.7386885285377502,1.0,1.7867142,0.7228101,0.914958357810974,0.1136167891418457,0.9750218391418456,0.7232993245124817,-2,0,0.5,0.9176261126995088,0.0,0.8352522253990173,0.9500436782836914,0.9519192576408386,0.991200029850006,0.8564488
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly schiebt Lee Grace am Brandywell zurück,Tower-7b,85,0.8915912508964539,0.6409429907798767,0.6622902154922485,0.8789000511169434,1.2892835,0.6153262,0.8664665818214417,0.1381325254482269,0.8852456510066986,0.6361580491065979,-3,-6,-2.5605499744415283,0.75992152094841,-5.27340030670166,0.5633248273594802,0.7836195959883128,0.898471474647522,0.9172463417053224,0.8344552
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Quelle: Derry-Mittelfeldspieler Adam Reilly macht Lee Grace im Brandywell dicht.,GPT-4,85,0.8751513361930847,0.5193382501602173,0.631821870803833,0.564276933670044,1.718677,1.6845927,0.6746310591697693,-0.4047206819034576,0.7197141349315643,0.5695875287055969,-3,-6,-2.717861533164978,0.5418075919151306,-3.385661602020264,0.2930505953379736,0.4938277124842756,0.8604879379272461,0.5918250679969788,0.6941649
5,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly blockt Lee Grace in Brandywell,Derry-Mittelfeldspieler Adam Reilly blockiert Lee Grace im Brandywell,Tower-13b,100,0.9413272738456726,0.8318455815315247,0.7237775325775146,1.0,1.6514724,0.9999111,0.9192383885383606,-0.0292919130771637,0.9706636369228364,0.7174471020698547,-3,0,0.5,0.9159227907657624,0.0,0.8318455815315247,0.9413272738456726,0.9771827459335328,0.991200029850006,0.8522564
